Genes,Sensitive,Resistant
LOC107985287,0.505033333,1.1778
LOC105372284,0.081866667,0.069563333
YJU2B,17.65666667,26.33
MRI1,16.90666667,19.43333333
C19orf53,198.3333333,185.5666667
ZSWIM4,5.413,21.63333333
LOC107985334,1.488666667,4.789333333
MIR23AHG,6.725,8.894333333
MIR24-2,2.924666667,5.69
MIR27A,1.1613,3.111
MIR23A,2.234666667,3.747666667
NANOS3,0.07196,0.393566667
BRME1,6.934666667,4.033666667
CC2D1A,44.15333333,55.37666667
PODNL1,0.8942,1.112
DCAF15,43.81666667,33.15
RFX1,9.527666667,10.28266667
RLN3,0.104636667,0.014753333
IL27RA,32.36,37.05333333
PALM3,0.576963333,0.05181
MISP3,0.774533333,0.7195
C19orf67,0.083773333,0.116873333
SAMD1,78.28,46.33333333
PRKACA,76.89333333,75.05
ASF1B,120.5333333,44.15666667
ADGRL1-AS1,4.763,5.130666667
ADGRL1,19.02333333,19.8
LINC01841,0.221966667,1.3358
LINC01842,5.315333333,3.425
ADGRE5,114.2666667,124.3333333
DDX39A,127.8333333,72.60333333
PKN1,71.85666667,135.9666667
PTGER1,3.024333333,2.604666667
GIPC1,133.3,99.79333333
DNAJB1,128.0666667,98.39
TECR,153.6333333,152.3333333
MIR639,40.41333333,42.26333333
NDUFB7,129.9333333,148.2666667
SNORA104,56.96666667,82.50666667
ZNF333,1.369666667,2.750333333
ADGRE2,3.233666667,3.325
SYDE1,23.66333333,31.23333333
ILVBL,50.87333333,46.15333333
NOTCH3,6.692,2.776
EPHX3,2.864666667,1.780666667
BRD4,40.49333333,49.24666667
AKAP8,26.90333333,30.18
AKAP8L,55.28,73.4
WIZ,26.48666667,34.5
RASAL3,0.022693333,0.053113333
CYP4F8,0.067483333,0.024313333
CYP4F3,0.084003333,0.01958
CYP4F12,0.308333333,0.458866667
OR10H1,0.5331,0
UCA1-AS1,26.67666667,2.633666667
UCA1,176.7,12.89366667
CYP4F11,0.04744,0.00517
TPM4,314.2,402.1
RAB8A,98.70666667,79.34
HSH2D,4.167666667,0.583766667
CIB3,0.8838,0.665766667
FAM32A,110.6366667,127.7666667
AP1M1,19.32333333,20.27333333
KLF2,7.732333333,1.976333333
EPS15L1,14.77333333,18.56
C19orf44,16.99,19.77
CHERP,54.37,55.96333333
SLC35E1,48.88666667,64.53666667
LOC105372295,2.506,2.501333333
MED26,11.51,12.57333333
LOC105372296,0.820566667,0.883666667
SMIM7,37.61,48.21333333
TMEM38A,3.372333333,12.53333333
NWD1,0.103056667,0.5881
SIN3B,33.47666667,69.04333333
F2RL3,0.466166667,1.287333333
CPAMD8,0.271033333,1.087433333
HAUS8,28.90333333,11.357
MYO9B,44.7,56.17
USE1,54.68666667,73.43333333
OCEL1,16.03,29.78
